Sample Index,I (In-phase),Q (Quadrature),FFT Size
173,-0.3176470588235294,1.0,
174,-0.2941176470588236,1.0,
175,-0.388235294117647,1.0,
176,-0.3019607843137255,1.0,
177,-0.16862745098039222,1.0,
178,-0.23921568627450984,1.0,
179,-0.1843137254901961,1.0,
180,-0.03529411764705881,1.0,
181,-0.09019607843137256,1.0,
182,-0.06666666666666665,1.0,
183,0.05882352941176472,1.0,
184,0.04313725490196085,1.0,
185,0.050980392156862786,1.0,
186,0.1215686274509804,1.0,
187,-0.04313725490196085,1.0,
188,0.1843137254901961,1.0,
189,0.2078431372549019,1.0,
190,0.33333333333333326,1.0,
191,0.2705882352941176,1.0,
192,0.34901960784313735,1.0,
193,0.43529411764705883,1.0,
194,0.4117647058823528,1.0,
195,0.3647058823529412,1.0,
196,0.4980392156862745,1.0,
197,0.5607843137254902,1.0,
198,0.5058823529411764,1.0,
199,0.5921568627450979,1.0,
200,0.6627450980392156,1.0,
201,0.615686274509804,1.0,
202,0.6313725490196078,1.0,
203,0.7333333333333334,1.0,
204,0.7490196078431373,1.0,
205,0.7490196078431373,1.0,
206,0.8745098039215686,0.9372549019607843,
207,0.8666666666666667,0.9607843137254901,
208,0.8274509803921568,0.9764705882352942,
209,0.9137254901960783,0.8901960784313725,
210,0.9450980392156862,0.8745098039215686,
211,0.8980392156862744,0.9215686274509804,
212,0.9450980392156862,0.8509803921568628,
213,1.0,0.7411764705882353,
214,1.0,0.8117647058823529,
215,0.9764705882352942,0.8274509803921568,
216,1.0,0.7019607843137254,
217,1.0,0.6862745098039216,
218,1.0,0.7333333333333334,
219,1.0,0.607843137254902,
220,1.0,0.5529411764705883,
221,1.0,0.6235294117647059,
222,1.0,0.5529411764705883,
223,1.0,0.43529411764705883,
224,1.0,0.48235294117647065,
225,1.0,0.43529411764705883,
226,1.0,0.3411764705882352,
227,1.0,0.3568627450980393,
228,1.0,0.4039215686274509,
229,1.0,0.2941176470588236,
230,1.0,0.22352941176470598,
231,1.0,0.2941176470588236,
232,1.0,0.24705882352941178,
233,1.0,0.12941176470588234,
234,1.0,0.1450980392156862,
235,1.0,0.22352941176470598,
236,1.0,0.027450980392156765,
237,1.0,-0.0117647058823529,
238,1.0,0.0352941176470587,
239,1.0,-0.09019607843137256,
240,1.0,-0.16078431372549018,
241,1.0,-0.050980392156862786,
242,1.0,-0.12941176470588234,
243,1.0,-0.3176470588235294,
244,1.0,-0.207843137254902,
245,1.0,-0.26274509803921564,
246,1.0,-0.3019607843137255,
247,1.0,-0.3176470588235294,
248,1.0,-0.3019607843137255,
249,1.0,-0.4117647058823529,
250,1.0,-0.48235294117647065,
251,1.0,-0.4117647058823529,
252,1.0,-0.4509803921568627,
253,1.0,-0.615686274509804,
254,1.0,-0.5607843137254902,
255,1.0,-0.5294117647058824,
256,1.0,-0.6705882352941177,
257,1.0,-0.6862745098039216,
258,1.0,-0.6549019607843137,
259,1.0,-0.7490196078431373,
260,1.0,-0.803921568627451,
261,1.0,-0.7411764705882353,
262,1.0,-0.6549019607843137,
263,1.0,-0.7568627450980392,
264,0.968627450980392,-0.8588235294117648,
265,0.9215686274509804,-0.8823529411764706,
266,0.7960784313725491,-1.0,
267,0.8666666666666667,-0.9529411764705882,
268,0.8745098039215686,-0.9372549019607843,
269,0.7490196078431373,-1.0,
270,0.7333333333333334,-1.0,
271,0.780392156862745,-1.0,
272,0.6627450980392156,-1.0,
273,0.607843137254902,-1.0,
274,0.6862745098039216,-1.0,
275,0.6313725490196078,-1.0,
276,0.5294117647058822,-1.0,
277,0.5686274509803921,-1.0,
278,0.5764705882352941,-1.0,
279,0.3803921568627451,-1.0,
280,0.4039215686274509,-1.0,
281,0.5137254901960784,-1.0,
