Sample Index,I (In-phase),Q (Quadrature),FFT Size
286,0.780392156862745,1.0,
287,0.8196078431372549,1.0,
288,0.7176470588235293,1.0,
289,0.8745098039215686,0.9294117647058824,
290,0.9058823529411764,0.9137254901960783,
291,0.8352941176470587,0.9843137254901961,
292,0.8588235294117648,0.9450980392156862,
293,0.968627450980392,0.8352941176470587,
294,0.9529411764705882,0.8745098039215686,
295,0.9372549019607843,0.8666666666666667,
296,1.0,0.7254901960784315,
297,1.0,0.7490196078431373,
298,1.0,0.7490196078431373,
299,1.0,0.6313725490196078,
300,1.0,0.6235294117647059,
301,1.0,0.6862745098039216,
302,1.0,0.5529411764705883,
303,1.0,0.48235294117647065,
304,1.0,0.584313725490196,
305,1.0,0.5215686274509803,
306,1.0,0.3647058823529412,
307,1.0,0.43529411764705883,
308,1.0,0.4039215686274509,
309,1.0,0.23921568627450984,
310,1.0,0.28627450980392144,
311,1.0,0.2705882352941176,
312,1.0,0.12941176470588234,
313,1.0,0.1215686274509804,
314,1.0,0.2549019607843137,
315,1.0,0.2078431372549019,
316,1.0,0.0117647058823529,
317,1.0,0.05882352941176472,
318,1.0,-0.07450980392156858,
319,1.0,-0.15294117647058825,
320,1.0,-0.06666666666666665,
321,1.0,-0.15294117647058825,
322,1.0,-0.2705882352941177,
323,1.0,-0.22352941176470587,
324,1.0,-0.19999999999999996,
325,1.0,-0.403921568627451,
326,1.0,-0.37254901960784315,
327,1.0,-0.34901960784313724,
328,1.0,-0.4901960784313726,
329,1.0,-0.5215686274509804,
330,1.0,-0.4117647058823529,
331,1.0,-0.5137254901960784,
332,1.0,-0.6470588235294118,
333,1.0,-0.5686274509803921,
334,1.0,-0.6,
335,1.0,-0.7411764705882353,
336,1.0,-0.6862745098039216,
337,1.0,-0.7019607843137254,
338,0.9607843137254901,-0.8431372549019608,
339,0.9921568627450981,-0.8274509803921568,
340,0.9450980392156862,-0.8509803921568627,
341,0.8588235294117648,-0.9529411764705882,
342,0.8901960784313725,-0.9372549019607843,
343,0.9372549019607843,-0.8823529411764706,
344,0.7882352941176469,-1.0,
345,0.7647058823529411,-1.0,
346,0.8431372549019607,-0.9764705882352941,
347,0.7333333333333334,-1.0,
348,0.6549019607843136,-1.0,
349,0.7176470588235293,-1.0,
350,0.7176470588235293,-1.0,
351,0.615686274509804,-1.0,
352,0.6000000000000001,-1.0,
353,0.6470588235294117,-1.0,
354,0.5294117647058822,-1.0,
355,0.4745098039215687,-1.0,
356,0.5450980392156863,-1.0,
357,0.48235294117647065,-1.0,
358,0.37254901960784315,-1.0,
359,0.4117647058823528,-1.0,
360,0.39607843137254894,-1.0,
361,0.2313725490196079,-1.0,
362,0.26274509803921564,-1.0,
363,0.2705882352941176,-1.0,
364,0.04313725490196085,-1.0,
365,0.0980392156862746,-1.0,
366,0.13725490196078427,-1.0,
367,-0.019607843137254943,-1.0,
368,-0.04313725490196085,-1.0,
369,0.0117647058823529,-1.0,
370,-0.09019607843137256,-1.0,
371,-0.16078431372549018,-1.0,
372,-0.12941176470588234,-1.0,
373,-0.19999999999999996,-1.0,
374,-0.33333333333333337,-1.0,
375,-0.24705882352941178,-1.0,
376,-0.26274509803921564,-1.0,
377,-0.4117647058823529,-1.0,
378,-0.4117647058823529,-1.0,
379,-0.3411764705882353,-1.0,
380,-0.4745098039215686,-1.0,
381,-0.5215686274509804,-1.0,
382,-0.5215686274509804,-1.0,
383,-0.6,-1.0,
384,-0.6627450980392157,-1.0,
385,-0.592156862745098,-1.0,
386,-0.6,-1.0,
387,-0.7725490196078432,-1.0,
388,-0.7333333333333334,-1.0,
389,-0.7333333333333334,-1.0,
390,-0.8666666666666667,-0.9450980392156862,
391,-0.8431372549019608,-0.9764705882352941,
392,-0.8274509803921568,-0.9843137254901961,
393,-0.9450980392156862,-0.8588235294117648,
394,-0.9686274509803922,-0.8588235294117648,
395,-0.9137254901960784,-0.9137254901960784,
396,-1.0,-0.7725490196078432,
397,-1.0,-0.7725490196078432,
398,-0.9450980392156862,-0.8666666666666667,
399,-1.0,-0.6941176470588235,
400,-1.0,-0.6784313725490196,
401,-1.0,-0.7019607843137254,
402,-1.0,-0.7254901960784313,
403,-1.0,-0.5529411764705883,
404,-1.0,-0.5607843137254902,
405,-1.0,-0.615686274509804,
406,-1.0,-0.45882352941176474,
407,-1.0,-0.4274509803921569,
408,-1.0,-0.4666666666666667,
409,-1.0,-0.30980392156862746,
410,-1.0,-0.2784313725490196,
411,-1.0,-0.3568627450980393,
412,-1.0,-0.2941176470588236,
413,-1.0,-0.16862745098039222,
414,-1.0,-0.22352941176470587,
415,-1.0,-0.26274509803921564,
416,-1.0,-0.06666666666666665,
417,-1.0,-0.06666666666666665,
418,-1.0,-0.14509803921568631,
419,-1.0,0.019607843137254832,
420,-1.0,0.07450980392156858,
421,-1.0,-0.019607843137254943,
422,-1.0,0.07450980392156858,
423,-1.0,0.2313725490196079,
424,-1.0,0.12941176470588234,
425,-1.0,0.2078431372549019,
426,-1.0,0.3176470588235294,
427,-1.0,0.3254901960784313,
428,-1.0,0.3803921568627451,
429,-1.0,0.4901960784313726,
430,-1.0,0.4274509803921569,
431,-1.0,0.4509803921568627,
432,-1.0,0.5607843137254902,
433,-1.0,0.5686274509803921,
434,-1.0,0.5215686274509803,
435,-1.0,0.6705882352941177,
436,-1.0,0.7098039215686274,
437,-1.0,0.6392156862745098,
438,-1.0,0.6784313725490196,
439,-1.0,0.803921568627451,
440,-1.0,0.7490196078431373,
441,-1.0,0.7725490196078431,
442,-0.9137254901960784,0.9058823529411764,
443,-0.9450980392156862,0.8823529411764706,
444,-0.9450980392156862,0.8666666666666667,
445,-0.8274509803921568,0.9764705882352942,
446,-0.8431372549019608,0.9764705882352942,
447,-0.8745098039215686,0.9450980392156862,
448,-0.7647058823529411,1.0,
449,-0.7333333333333334,1.0,
450,-0.7725490196078432,1.0,
451,-0.6627450980392157,1.0,
452,-0.592156862745098,1.0,
453,-0.6627450980392157,1.0,
454,-0.5843137254901961,1.0,
455,-0.4980392156862745,1.0,
456,-0.5294117647058824,1.0,
457,-0.5529411764705883,1.0,
458,-0.4666666666666667,1.0,
459,-0.403921568627451,1.0,
460,-0.45882352941176474,1.0,
461,-0.4117647058823529,1.0,
462,-0.3803921568627451,1.0,
463,-0.2784313725490196,1.0,
464,-0.23921568627450984,1.0,
465,-0.11372549019607847,1.0,
466,-0.1843137254901961,1.0,
467,-0.13725490196078427,1.0,
468,0.04313725490196085,1.0,
469,-0.04313725490196085,1.0,
